latent_idx,model_a_norm,model_b_norm,relative_norm
0,0.912631,0.88571566,0.49251664
1,1.0057982,0.9521447,0.48629847
2,0.90625143,0.99256927,0.52272934
3,0.98505574,0.70960855,0.41873106
4,0.30475914,1.9060858,0.86215264
5,0.8493179,0.9129212,0.51804614
6,1.5160085,0.19996361,0.11653081
7,0.17828812,1.5040021,0.8940206
8,1.0197811,1.0156841,0.4989936
9,0.8522704,1.0272893,0.54655844
10,1.1715845,0.9015484,0.43487242
11,1.0549543,1.2439927,0.54111415
12,0.94327486,0.98832816,0.5116622
13,1.0117807,1.1085737,0.5228247
14,0.81285894,1.0018995,0.5520842
15,1.9778979,0.31825718,0.1386044
16,0.9242907,1.0602207,0.53424776
17,0.5026229,0.6661351,0.5699513
18,0.23598851,2.0555012,0.8970152
19,0.7643059,0.9205744,0.5463738
20,1.9740397,0.18888792,0.087329745
21,0.75183123,0.79469556,0.51385826
22,1.8991897,0.27642432,0.12705576
23,0.7913083,0.76018983,0.48997146
24,1.0063944,0.9707125,0.49097624
25,1.9123186,0.18313693,0.087397195
26,0.9523381,1.0485955,0.52405316
27,1.8562515,0.2755627,0.12926206
28,0.997471,1.0381801,0.50999904
29,0.9723575,0.953376,0.4950716
30,0.711879,0.85976005,0.5470468
31,0.95583266,1.0187876,0.515941
32,0.5636853,1.6291535,0.7429427
33,1.9815526,0.2780586,0.12305595
34,0.14814425,0.9588142,0.86617005
35,1.0758339,0.78347194,0.42137873
36,0.3379949,2.001529,0.85552835
37,0.85605156,0.96992624,0.5311818
38,0.83750093,1.221287,0.5932068
39,0.96961766,1.0926548,0.52983046
40,1.2038717,0.15167582,0.11189266
41,1.5270374,0.36452886,0.19271271
42,0.21776207,1.8267337,0.8934886
43,0.8591792,0.88418037,0.5071704
44,0.27731898,1.4468555,0.8391584
45,1.900248,0.34652975,0.1542341
46,0.90043664,1.0320299,0.534048
47,1.5470898,0.16870737,0.09832594
48,0.8419045,0.82926583,0.49621862
49,1.0390669,0.9437972,0.4759767
50,0.92141944,0.99123615,0.51825124
51,0.91728085,1.2811695,0.5827603
52,0.24920362,1.860965,0.8819034
53,0.122897886,0.31759587,0.7209997
54,0.8877562,1.2118344,0.5771765
55,1.0268213,0.9828769,0.48906693
56,0.9286054,0.91901845,0.49740562
57,1.0820009,1.0180243,0.48476768
58,1.3104753,0.16457663,0.11157344
59,0.17730676,0.08462455,0.3230792
60,0.8828679,0.9930844,0.52937615
61,0.20140816,0.7699298,0.79264873
62,0.3234325,1.6668161,0.8374914
63,0.841833,0.8881457,0.51338536
64,0.18119057,0.96305305,0.84165037
65,0.10158006,0.17766872,0.63623816
66,0.86293983,0.85358495,0.49727502
67,0.84678715,0.89975184,0.51516277
68,0.7469556,0.8910232,0.54397726
69,1.0191642,0.8866208,0.46522602
70,1.153194,0.96874017,0.45653638
71,0.34598085,2.0133703,0.8533576
72,1.9284029,0.24858548,0.114187784
73,0.9455598,0.9624091,0.5044155
74,0.28040612,0.4244134,0.60215896
75,0.8439405,1.0916052,0.563978
76,0.83820885,0.8672261,0.50850725
77,0.17516835,0.08042148,0.31465054
78,0.93618506,0.9036031,0.49114516
79,1.1537617,1.1025101,0.4886424
80,1.1310489,1.3528975,0.5446565
81,1.3064632,1.1664882,0.4716988
82,0.1531912,0.57766646,0.7903953
83,0.11384919,0.25215507,0.6889402
84,0.9500678,1.0885507,0.5339649
85,1.1405864,0.82437927,0.4195388
86,0.7951838,0.832568,0.5114834
87,0.14359455,0.29751113,0.6744668
88,1.0237825,1.0134187,0.49745637
89,0.6345893,0.7357002,0.53689396
90,0.89513034,0.91383106,0.5051689
91,0.9312059,0.88637227,0.48766664
92,0.31717563,1.9219992,0.8583516
93,0.71092886,0.7831761,0.52417743
94,0.7574466,0.63573116,0.45631734
95,0.6828961,1.0026298,0.59484684
96,1.2099572,0.055609234,0.04394019
97,1.0082674,0.8663881,0.46215856
98,1.266475,1.4762582,0.5382435
99,0.900351,1.0799547,0.5453475
100,0.9346837,0.91301244,0.49413562
101,1.0778917,0.9291464,0.4629441
102,0.982406,0.9500587,0.49163055
103,1.1332775,1.1152573,0.4959929
104,1.3663082,1.1613842,0.45946425
105,0.8583715,0.92541265,0.51879185
